db,study,trial_id,trial,state,value,datetime_start,datetime_complete,run_dir,param:channel_mask_prob,param:drift_amp_range,param:drift_freq_range,param:drift_mask_prob,param:drift_min_amp,param:drift_min_freq,param:dropout,param:freq_num_masks,param:gain_mask_prob,param:gain_min_gain,param:gain_range,param:lr,param:noise_apply_prob,param:noise_min_snr_db,param:noise_snr_range_db,param:powerline_amp_range,param:powerline_mask_prob,param:powerline_max_harmonic,param:powerline_min_amp,param:time_num_masks,param:warp_mask_prob,param:warp_num_knots,param:warp_sigma,attr:drift_max_amp,attr:drift_max_freq,attr:gain_max_gain,attr:noise_max_snr_db,attr:powerline_max_amp
assets/optuna_user_mae.db,egoemg-user-mae-v2,56,54,COMPLETE,0.278828889131546,2026-05-29 02:52:40.039393,2026-05-29 02:59:10.186390,logs/optuna_user_mae/trial_0054_2026-05-29_02-52-40,0.4589186813723956,0.06331617616501807,0.5327621273296224,0.7357891967192149,0.003635899010632474,0.13593947663074424,0.15311017480106962,16.0,0.2623642206785575,0.6229510787899091,0.20249356244411826,7.638506829881033e-05,0.8801993670504413,11.454530994759748,20.65206527966644,0.04324730261662874,0.4449345827606452,2.0,0.01552304060139024,1.0,0.4702504038726488,6.0,0.17893913728336175,0.06695207517565055,0.6687016039603666,0.8254446412340273,32.10659627442619,0.05877034321801898
assets/optuna_user_mae.db,egoemg-user-mae-v2,15,13,COMPLETE,0.2789711058139801,2026-05-28 22:15:51.603147,2026-05-28 22:22:30.339499,logs/optuna_user_mae/trial_0013_2026-05-28_22-15-51,0.49506195389878405,0.05132397601389356,0.5534579786870907,0.8815671479870787,0.0022316618548824203,0.14505910417204576,0.15976272451688453,11.0,0.03869745700085225,0.668289967583713,0.18873039590394167,5.1598638949613985e-05,0.9984849445635525,12.138299403374514,15.97619462390752,0.049422035282980024,0.42982493759777574,1.0,0.017475073786701763,0.0,0.372312280425242,10.0,0.04009184197210556,0.05355563786877598,0.6985170828591365,0.8570203634876546,28.114494027282035,0.06689710906968178
assets/optuna_user_mae.db,egoemg-user-mae-v2,65,63,COMPLETE,0.2791202962398529,2026-05-29 03:54:38.707287,2026-05-29 04:01:23.688350,logs/optuna_user_mae/trial_0063_2026-05-29_03-54-38,0.4483496563690455,0.09757407005770741,0.643550615360775,0.765726631008707,0.00259331297500962,0.11988466622380338,0.23361432008918948,17.0,0.2992895042618694,0.5318782221229968,0.18081666224457607,5.241704543546113e-05,0.9019611938467543,13.769775330917135,8.009617515522194,0.04464448782377676,0.4297740995103732,3.0,0.018874516980049643,3.0,0.6277785883592087,6.0,0.26055882646814976,0.10016738303271702,0.7634352815845783,0.7126948843675729,21.77939284643933,0.0635190048038264
assets/optuna_user_mae.db,egoemg-user-mae-v2,27,25,COMPLETE,0.2791835069656372,2026-05-28 23:34:58.192097,2026-05-28 23:41:50.769836,logs/optuna_user_mae/trial_0025_2026-05-28_23-34-58,0.4737182476316284,0.05808000033756467,0.6049143133345993,0.7873755794740608,0.0062217685450173445,0.11640446382036365,0.08723449087119883,9.0,0.0020459468512033785,0.6461495485115756,0.17849378788359926,5.184243449564287e-05,0.9173162130594483,16.19431756803633,24.85324978722467,0.0424531213585067,0.3650686066277369,2.0,0.01655949765998059,2.0,0.12943850420027095,9.0,0.08659146962856543,0.06430176888258202,0.721318777154963,0.8246433363951748,41.047567355260995,0.05901261901848729
assets/optuna_user_mae.db,egoemg-user-mae-v2,90,88,COMPLETE,0.27921730279922485,2026-05-29 06:46:27.951816,2026-05-29 06:53:17.384000,logs/optuna_user_mae/trial_0088_2026-05-29_06-46-28,0.4931618782081655,0.051027692897073734,0.6628326485801161,0.7577543941486167,0.0050628986481539625,0.0111846533759426,0.22327251858594635,17.0,0.03229901785340601,0.6312324414892776,0.22180119410997345,5.28049062098694e-05,0.8338891346422892,14.265769255965816,6.672480970719207,0.04380974842531223,0.48421543510577253,3.0,0.01664703058953257,0.0,0.12889750940805017,10.0,0.09295001914578116,0.0560905915452277,0.6740173019560587,0.853033635599251,20.938250226685025,0.0604567790148448
assets/optuna_user_mae.db,egoemg-user-mae-v2,64,62,COMPLETE,0.27921995520591736,2026-05-29 03:47:53.361614,2026-05-29 03:54:38.699181,logs/optuna_user_mae/trial_0062_2026-05-29_03-47-53,0.45267024236868053,0.09591189749038417,0.5691848469083725,0.7093273775800022,0.0020830515207518087,0.11809264765153166,0.2348157760739853,17.0,0.2623609316900259,0.5008257962750242,0.23051760625644133,5.000015641432745e-05,0.8875837071943354,11.405580030306478,7.311732174449059,0.04408363032919164,0.49701381272771417,3.0,0.01867733102959007,2.0,0.652549360218966,6.0,0.2528190893996365,0.09799494901113598,0.6872774945599041,0.7313434025314656,18.717312204755537,0.0627609613587817
assets/optuna_user_mae.db,egoemg-user-mae-v2,96,94,COMPLETE,0.2792417109012604,2026-05-29 07:26:50.913467,2026-05-29 07:34:27.974339,logs/optuna_user_mae/trial_0094_2026-05-29_07-26-51,0.49357252917139477,0.0541596143769323,0.6020982412558504,0.7357550687026456,0.006207795112355419,0.13674187811474417,0.13836196842188622,16.0,0.030880908699284747,0.5804759017156965,0.24126387291730425,5.210170386847461e-05,0.9425427333498024,17.111794703155336,4.6265825702795365,0.04287224542475736,0.4297607531112127,4.0,0.01694738670800455,1.0,0.29042092257592406,10.0,0.1010169556105265,0.06036740948928772,0.7388401193705946,0.8217397746330007,21.73837727343487,0.05981963213276191
assets/optuna_user_mae.db,egoemg-user-mae-v2,60,58,COMPLETE,0.27924400568008423,2026-05-29 03:19:35.797807,2026-05-29 03:26:30.512424,logs/optuna_user_mae/trial_0058_2026-05-29_03-19-35,0.4488705604245858,0.06598241101138709,0.5818549252046458,0.5735912703706518,0.011512739011184943,0.10350185181060886,0.26884411807095515,20.0,0.3944708984859502,0.5295243334195154,0.16537089321605977,6.4394759018343e-05,0.8004102786727868,16.26098042073955,10.127666072879682,0.04609700619705378,0.4970932494432987,4.0,0.019263268251394974,5.0,0.6167878134043034,6.0,0.24394418491190756,0.07749515002257204,0.6853567770152547,0.6948952266355752,26.388646493619234,0.06536027444844875
assets/optuna_user_mae.db,egoemg-user-mae-v2,66,64,COMPLETE,0.2792850136756897,2026-05-29 04:01:23.698393,2026-05-29 04:08:13.158991,logs/optuna_user_mae/trial_0064_2026-05-29_04-01-23,0.4469414530140245,0.09894839905656208,0.6289302772474565,0.6926113590935263,0.012047208762196712,0.1117571756252197,0.23192955642761598,17.0,0.19729792787031,0.5023318914112256,0.17851387635417723,5.0251340143521365e-05,0.8942463001714227,16.883897931830614,7.843195031434477,0.041462577209879545,0.47952088625706996,3.0,0.01955670686744475,5.0,0.6848775290186644,6.0,0.2667227685981064,0.11099560781875879,0.7406874528726762,0.6808457677654028,24.72709296326509,0.06101928407732429
assets/optuna_user_mae.db,egoemg-user-mae-v2,17,15,COMPLETE,0.27930572628974915,2026-05-28 22:28:47.210555,2026-05-28 22:35:00.748719,logs/optuna_user_mae/trial_0015_2026-05-28_22-28-47,0.42526920333451546,0.05996845728618101,0.6807307087544263,0.7080395880330069,0.002014408834343463,0.12430612272098024,0.12983995018010336,11.0,0.25997423016857724,0.5067595452315592,0.20591885374813262,5.2296198249743304e-05,0.8491493906514518,19.396657582764462,10.429855384960948,0.044190557701440626,0.3962577349572465,1.0,0.019256665221725096,1.0,0.1950236581346792,10.0,0.2947676642923222,0.06198286612052448,0.8050368314754066,0.7126783989796919,29.82651296772541,0.06344722292316572
