WL,duration_s,val_mae,overall_test_mae,min_mae,max_mae,mae_range,T_out
1000,0.50,0.2853,0.2853,0.2851,0.2854,0.0003,490
3000,1.50,0.2750,0.2750,0.2731,0.2777,0.0046,2490
5000,2.50,0.2704,0.2705,0.2688,0.2756,0.0068,4490
7000,3.50,0.2652,0.2652,0.2625,0.2746,0.0121,6490
7494,3.75,0.2586,0.2585,0.2549,0.2668,0.0120,6984
9000,4.50,0.2618,0.2619,0.2578,0.2727,0.0150,8490
11000,5.50,0.2495,0.2496,0.2422,0.2659,0.0238,10490
13000,6.50,0.2490,0.2491,0.2439,0.2632,0.0192,12490
14409,7.20,0.2428,0.2427,0.2373,0.2539,0.0166,13899
14638,7.32,0.2401,0.2401,0.2339,0.2524,0.0185,14128
15716,7.86,0.2330,0.2331,0.2262,0.2448,0.0186,15206
18120,9.06,0.2255,0.2257,0.2185,0.2363,0.0178,17610
20585,10.29,0.2177,0.2180,0.2109,0.2268,0.0158,20075
22052,11.03,0.2156,0.2157,0.2105,0.2274,0.0169,21542
24458,12.23,0.2090,0.2094,0.2019,0.2238,0.0219,23948
25000,12.50,0.2033,0.2035,0.1948,0.2232,0.0283,24490
26000,13.00,0.2018,0.2020,0.1926,0.2197,0.0271,25490
27000,13.50,0.2057,0.2061,0.1995,0.2246,0.0250,26490
28000,14.00,0.1977,0.1978,0.1910,0.2134,0.0224,27490
29000,14.50,0.1927,0.1930,0.1834,0.2109,0.0275,28490
30000,15.00,0.1927,0.1928,0.1844,0.2128,0.0284,29490
31000,15.50,0.1925,0.1924,0.1847,0.2076,0.0229,30490
32000,16.00,0.1914,0.1914,0.1843,0.2095,0.0253,31490
33000,16.50,0.1912,0.1911,0.1838,0.2081,0.0243,32490
34000,17.00,0.1892,0.1891,0.1832,0.2125,0.0293,33490
35000,17.50,0.1858,0.1859,0.1765,0.2092,0.0326,34490
