WL,overall,gesture,user,both
1000,0.2853,0.2845,0.2844,0.2955
3000,0.2750,0.2438,0.3099,0.3147
5000,0.2704,0.2311,0.3137,0.3211
7000,0.2652,0.2191,0.3169,0.3233
7494,0.2585,0.2262,0.2935,0.3043
9000,0.2619,0.2231,0.3039,0.3168
11000,0.2496,0.1989,0.3063,0.3149
13000,0.2491,0.1896,0.3146,0.3263
14409,0.2427,0.2023,0.2871,0.2915
14638,0.2401,0.1878,0.2996,0.3050
15716,0.2331,0.1813,0.2915,0.2986
18120,0.2257,0.1657,0.2928,0.3020
20585,0.2180,0.1548,0.2924,0.2962
22052,0.2157,0.1496,0.2917,0.3017
24458,0.2094,0.1323,0.2957,0.3000
25000,0.2035,0.1221,0.2960,0.3018
26000,0.2020,0.1221,0.2934,0.3034
27000,0.2061,0.1181,0.3022,0.3162
28000,0.1978,0.1068,0.3004,0.3099
29000,0.1930,0.1028,0.2983,0.3130
30000,0.1928,0.1015,0.2993,0.2930
31000,0.1924,0.1051,0.2926,0.2861
32000,0.1914,0.1050,0.2932,0.2874
33000,0.1911,0.0988,0.2933,0.3008
34000,0.1891,0.0967,0.2949,0.3030
35000,0.1859,0.0923,0.2944,0.2911
