WL,mean_mae,min_mae,min_pos_pct,max_mae,max_pos_pct,range
1000,0.2853,0.2851,7.3,0.2854,54.9,0.0003
3000,0.2750,0.2731,20.6,0.2777,100.0,0.0046
5000,0.2705,0.2688,14.2,0.2756,100.0,0.0068
7000,0.2652,0.2625,28.4,0.2746,100.0,0.0121
7494,0.2585,0.2549,33.6,0.2668,100.0,0.0120
9000,0.2619,0.2578,8.8,0.2727,100.0,0.0150
11000,0.2496,0.2422,26.1,0.2659,100.0,0.0238
13000,0.2491,0.2439,40.6,0.2632,100.0,0.0192
14409,0.2427,0.2373,14.1,0.2539,99.6,0.0166
14638,0.2401,0.2339,23.3,0.2524,100.0,0.0185
15716,0.2331,0.2262,41.5,0.2448,98.8,0.0186
18120,0.2257,0.2185,27.9,0.2363,100.0,0.0178
20585,0.2180,0.2109,30.7,0.2268,100.0,0.0158
22052,0.2157,0.2105,27.7,0.2274,100.0,0.0169
24458,0.2094,0.2019,39.5,0.2238,0.0,0.0219
25000,0.2035,0.1948,37.2,0.2232,100.0,0.0283
26000,0.2020,0.1926,41.9,0.2197,100.0,0.0271
27000,0.2061,0.1995,56.4,0.2246,0.0,0.0250
28000,0.1978,0.1910,43.9,0.2134,100.0,0.0224
29000,0.1930,0.1834,43.2,0.2109,100.0,0.0275
30000,0.1928,0.1844,30.8,0.2128,100.0,0.0284
31000,0.1924,0.1847,31.3,0.2076,100.0,0.0229
32000,0.1914,0.1843,57.6,0.2095,100.0,0.0253
33000,0.1911,0.1838,64.3,0.2081,2.3,0.0243
34000,0.1891,0.1832,68.7,0.2125,0.0,0.0293
35000,0.1859,0.1765,40.7,0.2092,100.0,0.0326
